precinct Jackson total black  hispanic vap
11101	120	141	0.541	0.381	737
11102	192	231	0.62	0.236	692
11103	201	238	0.542	0.381	614
11104	129	247	0.173	0.476	1349
11105	60	125	0.284	0.439	955
11106	113	252	0.174	0.469	1517
11107	122	250	0.188	0.412	842
11108	86	211	0.102	0.442	1621
11109	115	146	0.308	0.496	688
11111	129	187	0.308	0.496	688
11112	58	103	0.228	0.556	832
11113	108	250	0.284	0.439	955
11114	65	168	0.052	0.166	868
11115	74	167	0.156	0.403	1419
11116	46	86	0.188	0.412	842
11117	33	82	0.09	0.272	1549
11118	38	84	0.052	0.166	1139
11119	59	134	0.116	0.346	826
11120	135	179	0.403	0.397	464
11121	73	153	0.125	0.374	789
11122	74	135	0.254	0.537	1238
11123	32	106	0.045	0.314	1262
11124	24	148	0.049	0.321	1138
11125	72	224	0.052	0.166	868
11126	47	176	0.052	0.166	868
11127	54	211	0.03	0.266	996
11128	71	214	0.375	0.425	760
11129	45	204	0.028	0.264	1120
11130	28	183	0.011	0.155	547
11131	34	109	0.102	0.32	906
11132	0	1	0.551	0.289	256
11133	33	141	0.052	0.166	814
11134	74	129	0.403	0.397	541
11135	70	149	0.188	0.412	842
11136	1	2	0.066	0.076	620
11137	30	46	0.307	0.496	563
11138	5	12	0.125	0.374	72
11201	33	112	0.04	0.062	834
11202	40	115	0.04	0.062	834
11203	18	100	0.009	0.026	578
11204	41	168	0.009	0.026	578
11205	25	117	0.026	0.073	845
11206	20	134	0.014	0.074	802
11207	55	219	0.013	0.074	1123
11208	46	143	0.053	0.12	948
11209	33	139	0.058	0.077	807
11210	37	136	0.052	0.12	920
11211	38	160	0.026	0.073	724
11212	23	80	0.01	0.146	411
11213	39	137	0.027	0.073	603
11214	35	82	0.04	0.062	834
11215	45	146	0.033	0.171	721
11216	41	179	0.024	0.162	1132
11217	30	119	0.016	0.065	826
11218	22	90	0.016	0.065	826
11219	26	142	0.016	0.065	1069
11220	39	175	0.019	0.097	786
11221	58	168	0.058	0.077	807
11222	60	191	0.016	0.065	1069
11223	63	207	0.016	0.065	1069
11224	27	90	0.023	0.122	727
11225	63	207	0.024	0.122	1090
11226	73	211	0.056	0.156	1376
11227	45	193	0.024	0.122	908
11228	46	188	0.052	0.12	920
11229	34	159	0.024	0.122	836
11230	41	135	0.014	0.073	642
11231	39	172	0.029	0.117	972
11232	53	224	0.029	0.117	1296
11233	26	117	0.009	0.026	578
11234	30	235	0.029	0.117	972
11235	25	100	0.077	0.11	753
11236	42	104	0.098	0.121	946
11237	41	157	0.099	0.12	1216
11238	29	173	0.019	0.097	786
11239	20	93	0.019	0.097	472
11240	72	236	0.056	0.156	1376
11241	63	187	0.058	0.077	807
11242	50	165	0.04	0.062	834
11243	80	202	0.076	0.11	903
11244	81	159	0.099	0.12	1216
11245	31	95	0.059	0.077	440
11246	15	49	0.015	0.075	481
11247	20	176	0.019	0.096	1100
11249	26	88	0.058	0.077	807
11252	2	10	0.025	0.075	241
11253	5	16	0.01	0.026	193
11301	2	6	0.065	0.113	124
11302	39	112	0.051	0.123	741
11303	41	187	0.058	0.162	770
11304	35	159	0.059	0.162	630
11305	40	154	0.058	0.162	770
11306	31	126	0.035	0.09	569
11307	34	149	0.035	0.09	569
11308	70	226	0.076	0.11	903
11309	3	15	0	0.111	36
11310	58	205	0.058	0.147	954
11311	33	100	0.058	0.162	770
11312	37	118	0.035	0.09	569
11313	181	207	0.554	0.291	475
11314	60	163	0.052	0.118	806
11315	35	136	0.052	0.123	988
11316	49	201	0.027	0.08	675
11317	62	217	0.051	0.123	1482
11318	43	142	0.051	0.123	741
11319	31	112	0.026	0.079	491
11320	11	121	0.052	0.118	288
11321	32	131	0.035	0.09	569
11322	42	99	0.052	0.118	806
11324	59	137	0.071	0.143	28
11325	1	9	0.012	0.155	168
11326	36	177	0.035	0.09	569
11327	37	170	0.049	0.106	838
11328	99	114	0.639	0.206	379
11329	151	181	0.542	0.381	982
11330	44	170	0.049	0.106	838
11331	52	184	0.052	0.118	806
11332	61	194	0.049	0.106	838
11333	59	159	0.052	0.118	806
11334	29	123	0.035	0.09	569
11335	67	203	0.035	0.09	1137
11336	53	139	0.035	0.09	569
11337	42	188	0.052	0.123	988
11338	27	90	0.052	0.118	806
11339	24	116	0.052	0.177	633
11340	64	111	0.052	0.118	806
11341	52	141	0.035	0.09	569
11342	81	166	0.049	0.106	838
11343	19	111	0.071	0.143	28
11344	0	2	0.008	0.159	126
--============_-1320826132==_============--



